PRISM_DATASET_FILENAME,PRISM_DATASET_CREATE_DATE,PRISM_DATASET_TYPE,PRISM_DATASET_VERSION,PRISM_CODE_VERSION,PRISM_DATASET_REMARKS,file_path,folder_path
"cai_tmax_us_us_30s_199505.bil, cai_tmin_us_us_30s_199505.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199505_bil/PRISM_tmean_stable_4kmM3_199505_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199505_bil
"cai_tmax_us_us_30s_199506.bil, cai_tmin_us_us_30s_199506.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199506_bil/PRISM_tmean_stable_4kmM3_199506_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199506_bil
"cai_tmax_us_us_30s_199507.bil, cai_tmin_us_us_30s_199507.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199507_bil/PRISM_tmean_stable_4kmM3_199507_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199507_bil
"cai_tmax_us_us_30s_199508.bil, cai_tmin_us_us_30s_199508.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199508_bil/PRISM_tmean_stable_4kmM3_199508_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199508_bil
"cai_tmax_us_us_30s_199509.bil, cai_tmin_us_us_30s_199509.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199509_bil/PRISM_tmean_stable_4kmM3_199509_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199509_bil
"cai_tmax_us_us_30s_199510.bil, cai_tmin_us_us_30s_199510.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199510_bil/PRISM_tmean_stable_4kmM3_199510_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199510_bil
"cai_tmax_us_us_30s_199511.bil, cai_tmin_us_us_30s_199511.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199511_bil/PRISM_tmean_stable_4kmM3_199511_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199511_bil
"cai_tmax_us_us_30s_199512.bil, cai_tmin_us_us_30s_199512.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199512_bil/PRISM_tmean_stable_4kmM3_199512_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199512_bil
"cai_tmax_us_us_30s_199601.bil, cai_tmin_us_us_30s_199601.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199601_bil/PRISM_tmean_stable_4kmM3_199601_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199601_bil
"cai_tmax_us_us_30s_199602.bil, cai_tmin_us_us_30s_199602.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199602_bil/PRISM_tmean_stable_4kmM3_199602_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199602_bil
"cai_tmax_us_us_30s_199603.bil, cai_tmin_us_us_30s_199603.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199603_bil/PRISM_tmean_stable_4kmM3_199603_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199603_bil
"cai_tmax_us_us_30s_199604.bil, cai_tmin_us_us_30s_199604.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199604_bil/PRISM_tmean_stable_4kmM3_199604_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199604_bil
"cai_tmax_us_us_30s_199605.bil, cai_tmin_us_us_30s_199605.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199605_bil/PRISM_tmean_stable_4kmM3_199605_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199605_bil
"cai_tmax_us_us_30s_199606.bil, cai_tmin_us_us_30s_199606.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199606_bil/PRISM_tmean_stable_4kmM3_199606_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199606_bil
"cai_tmax_us_us_30s_199607.bil, cai_tmin_us_us_30s_199607.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199607_bil/PRISM_tmean_stable_4kmM3_199607_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199607_bil
"cai_tmax_us_us_30s_199608.bil, cai_tmin_us_us_30s_199608.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199608_bil/PRISM_tmean_stable_4kmM3_199608_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199608_bil
"cai_tmax_us_us_30s_199609.bil, cai_tmin_us_us_30s_199609.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199609_bil/PRISM_tmean_stable_4kmM3_199609_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199609_bil
"cai_tmax_us_us_30s_199610.bil, cai_tmin_us_us_30s_199610.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199610_bil/PRISM_tmean_stable_4kmM3_199610_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199610_bil
"cai_tmax_us_us_30s_199611.bil, cai_tmin_us_us_30s_199611.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199611_bil/PRISM_tmean_stable_4kmM3_199611_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199611_bil
"cai_tmax_us_us_30s_199612.bil, cai_tmin_us_us_30s_199612.bil",20191009,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199612_bil/PRISM_tmean_stable_4kmM3_199612_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199612_bil
"cai_tmax_us_us_30s_199701.bil, cai_tmin_us_us_30s_199701.bil",20191010,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199701_bil/PRISM_tmean_stable_4kmM3_199701_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199701_bil
"cai_tmax_us_us_30s_199702.bil, cai_tmin_us_us_30s_199702.bil",20191010,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199702_bil/PRISM_tmean_stable_4kmM3_199702_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199702_bil
"cai_tmax_us_us_30s_199703.bil, cai_tmin_us_us_30s_199703.bil",20191010,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199703_bil/PRISM_tmean_stable_4kmM3_199703_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199703_bil
"cai_tmax_us_us_30s_199704.bil, cai_tmin_us_us_30s_199704.bil",20191010,an81/r1812,M3,16.1-20180525-1024,"This grid was developed in three steps:  (1) tmin and tmax were initially modeled with PRISM at 30-arc-second (~800-m) resolution to produce the source grids listed under PRISM_FILENAME, on the date(s) listed under PRISM_CREATE_DATE; (2) these 800-m tmin and tmax grids were upscaled to 2.5-arc-minute (~4-km) resolution with a Gaussian filter; and (3) the resulting 4-km tmin and tmax grids were averaged to obtain a 4-km mean temperature grid.",/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199704_bil/PRISM_tmean_stable_4kmM3_199704_bil.info.txt,/Users/charlottewickham/Documents/posit/scipy-talk/data-raw/prism/PRISM_tmean_stable_4kmM3_199704_bil
